ICAO	Airline	CALL SIGN	Country
LCV		CABO CAT	
LCY	London City Airport Jet Centre	LONDON CITY	United Kingdom
LDA	Lauda Air	LAUDA AIR	Austria
LDA	Lauda Air	LAUDA	Austria
LDB		LADA	
LDC		LADECO CARGO	
LDE	LADE - Líneas Aéreas Del Estado	LADE	Argentina
LDF		ELBRUS	
LDG	Aerolíneas Aéreas Ejecutivas De Durango	DURANGO	Mexico
LDI	Lauda Air Italy	LAUDA ITALY	Italy
LDM	LaudaMotion	LAUDA MOTION	Austria
LDN	Al-Donas Airlines	ALDONAS AIR	Nigeria
LDO		ELISUSA	
LDR	Aero Lider	AEROLIDER	Mexico
LDS		LINSUR	
LDX		LAUDA RUSH	
LEA	Unijet	LEADAIR	France
LEB	Lebap	LEBAP	Turkmenistan
LEC	Linex	LECA	Central African Republic
LED	Blom Geomatics	SWEEPER	Norway
LEE	RAF Leeming	JAVELIN	United Kingdom
LEF		LALENA	
LEG	The Army Aviation Heritage Foundation	LEGACY	United States
LEH		PATHFINDER	
LEI		LEASAIR	
LEJ	FSH Luftfahrtunternehmen	LEIPZIG FAIR	Germany
LEK		LET-AIR	
LEL	Leonsa De Aviación	LEONAVIA	Spain
LEM		LEMPIRAS	
LEN	Lentini Aviation	LENTINI	United States
LEO		SUN-OLE	
LEP	Air Costa	LECOSTA	India
LEP	Laughlin Express	LAUGHLIN EXPRESS	United States
LER	Línea Aérea de Servicio Ejecutivo Regional	LASER	Venezuela
LES		SEAL	
LET	Aerolíneas Ejecutivas	MEXEJECUTIV	Mexico
LEU	Lions-Air	LIONSAIR	Switzerland
LEU	Lions-Air	LIONS	Switzerland
LEV		SKY LEADAIR	
LEX	L'Express Airlines	LEX	United States
LFA		AIR ALFA	
LFC		LIFE FLIGHT CANADA	
LFE	Luxflight Executive	LUX EXPRESS	Luxembourg
LFH		HISTRIA	
LFI	National Airways Corporation	AEROMED	South Africa
LFL	Executive Air	LIFE FLIGHT	Zimbabwe
LFM		LIFT AIR	
LFO	Deutsches Zentrum fur Luft-und Raumfahrt EV	LUFO	Germany
LFP	Alfa Aerospace	ALFA-SPACE	Australia
LFR	Atlantic Airfreight Aviation	LANFREIGHT	São Tomé and Príncipe
LFS		LOUELLA	
LFT		LIFTCO	
LGA	Logistic Air	LOGAIR	Malaysia
LGC	Legacy Air	LEGACY AIR	Thailand
LGD	Legend Airlines	LEGENDARY	United States
LGE		LEGO	
LGI		ELL-GEE AIR	
LGL	Luxair	LUXAIR	Luxembourg
LGM		SKYTRAINER	
LGN	Aerolaguna	AEROLAGUNA	Mexico
LGO		LEGO	
LGT	Longtail Aviation	LONGTAIL	Bermuda
LGU	Servicios Aéreos Ejecutivos De La Laguna	LAGUNA	Mexico
LGW	German Airways	WALTER	Germany
LGZ		ARNA	
LHA		AIR CANTON	
LHB	Liebherr Geschaeftreiseflugzeug	FAMILY	Germany
LHC	London Helicopter Centres	MUSTANG	United Kingdom
LHG		AIR LEADER	
LHK		LAHAK	
LHN		LONGHORN	
LHR	Al Ahram Aviation	AL AHRAM	Egypt
LHS	Luhansk	ENTERPRISE LUHANSK	Ukraine
LHT	Lufthansa Technik	LUFTHANSA TECHNIK	Germany
LIA	Leeward Islands Air Transport	LIAT	Antigua and Barbuda
LIB	Polizeihubschrauberstaffel Hamburg	LIBELLE	Germany
LIC		ASIALINE	
LID	Alidaunia	ALIDA	Italy
LIE	Al-Dawood Air	AL-DAWOOD AIR	Nigeria
LIF	Rocky Mountain Holdings	LIFECARE	United States
LII		GROMOV AIR	
LIJ	Líneas Aéreas San Jose	LINEAS JOSE	Mexico
LIK		GIASIN	
LIL		LITHUANIA AIR	
LIM		SCANDJET	
LIN	Aerolimousine	AEROLIMOUSINE	Russia
LIP		LIPIZAN	
LIR	Minsk Aircraft Overhaul Plant	LISLINE	Belarus
LIS	Eastern Express	LARISA	Kazakhstan
LIT		MIRACOLO	
LIV		LIVONIA	
LIX		LIT EXPRESS	
LIZ		LIAISON	
LJA		AIR JAMAHIRIYA	
LJB		AL JABEER	
LJM		COOL RUNNINGS	
LJR		HELLAS WINGS	
LJT		LIFEJET	
LJY	L J Aviation	ELJAY	United States
LKA	Lao Capricorn Air	NAKLAO	Lao People's Democratic Republic
LKD	Lignes Aeriennes Du Tchad	LATCHAD	Chad
LKE	Lucky Air	LUCKY AIR	China
LKF		LAKE FRONT	
LKH		SKYPLANET	
LKL	Lakeland Aviation	LAKELAND	United States
LKN	Lankair	LANKAIR	Sri Lanka
LKP		LAKE POWELL	
LKR	Laker Airways	LAKER	United States
LKS	Airlink Solutions	AIRLIN	Spain
LKW	Top Sky International	TOPINTER	Indonesia
LKX		MUTTLEY	
LKY	Air Solutions	LUCKY	United States
LLA	Servico Leo Lopex	LEO LOPOZ	Mexico
LLB	Lloyd Aéreo Boliviano	LLOYDAEREO	Bolivia
LLC		SMALL PLANET	
LLD		AVIA LLOYD	
LLE		CONVALLES	
LLG		KAKHETI	
LLI		AURIGA	
LLJ		MAYBOUNE JET	
LLK		AIR LIFE	
LLL	Lao Skyway	LAVIE	Lao People's Democratic Republic
LLM	Yamal Airlines	YAMAL	Russia
LLO	Operation Enduring Freedom	APOLLO	Canada
LLP		SKYPOL	
LLR	Air India Regional	ALLIED	India
LLR	Thai Sky Airlines	THAI SKY AIR	Thailand
LLS	Servicios Aéreos Estrella	SERVIESTRELLA	Mexico
LLT		CLASSIC JET	
LLX		GERMANJET	
LLY		LETSY	
LMA	Aerolima	AEROLIMA	Mexico
LMB		AVIAKOMI	
LMC	Línea Aérea Mexicana de Carga	LINEAS DECARGA	Mexico
LMD		LAMIA	
LME	Lignes Mauritaniennes Air Express	LIMAIR EXPRESS	Mauritania
LMG	South African Air Force	SOUTH AFRICAN	South Africa
LMJ	Masterjet	MASTERJET	Portugal
LMK	Grantex Aviation	LANDMARK	United Kingdom
LML		ALAMIA AIR	
LMN	Líneas Aéreas Monarca	LINEAS MONARCA	Mexico
LMO	Sky One Holdings as Privaira	SKY HOLDINGS	United States
LMP	Air Plus Argentina	AIRFLIGHT	Argentina
LMR	Lamra	LAMAIR	Sudan
LMS	Lomas Helicopters	LOMAS	United Kingdom
LMT	Almaty Aviation	ALMATY	Kazakhstan
LMU	Al Masria Universal Airlines	ALMASRIA	Egypt
LMX	Aerolíneas Mexicanas J S	LINEAS MEXICANAS	Mexico
LMY	Air Almaty	AGLEB	Kazakhstan
LMZ	Air Almaty ZK	ALUNK	Kazakhstan
LNA	Lnair Air Services	ELNAIR	Spain
LNC	LAN Dominicana	LANCANA	Dominican Republic
LND		AALAND	
LNE	Aerolane	AEROLANE	Ecuador
LNG	Lockheed Martin Aeronautics Company	LIGHTNING	United States
LNH		LASA	
LNI	LionAir	LION INTER	Indonesia
LNK	Airlink	LINK	South Africa
LNM		AIR RING	
LNP	Línea Aérea SAPSA	SAPSA	Chile
LNQ		FASTLINK	
LNR		LANTUR	
LNS		LANSA	
LNT	Aerolíneas Internacionales	LINEAINT	Mexico
LNX	London Executive Aviation	LONEX	United Kingdom
LNZ		LINZ	
LOA		LONEAIR	
LOC		LOCAVIA	
LOD	Malmoe Air Taxi	LOGIC	Sweden
LOF	Trans States Airlines	WATERSKI	United States
LOG	Loganair	LOGAN	United Kingdom
LOK	Alok Air	ALOK AIR	Sudan
LOL		LOLA	
LON		AVILOND	
LOP	RAF Linton-on-Ouse	LINTON ON OUSE	United Kingdom
LOR	Leo-Air	LEO CHARTER	South Africa
LOS	RAF Lossiemouth	LOSSIE	United Kingdom
LOT	LOT Polish Airlines	LOT	Poland
LOT	LOT Polish Airlines	POLLOT	Poland
LOU	Air Saint Louis	AIR SAINTLOUIS	Senegal
LOV	London Flight Centre (Stansted)	LOVEAIR	United Kingdom
LOY		LOYDS	
LPA	Air Leap	LEAP	Sweden
LPC	Alpine Aviation	NETSTAR	South Africa
LPD	UK Royal/HRH Duke of York	LEOPARD	United Kingdom
LPE	LATAM Peru	LANPERU	Peru
LPL	Lease-a-Plane International	LEASE-A-PLANE	United States
LPN	Laoag International Airlines	LAOAG AIR	Philippines
LPR		RATOVNIK	
LPS		ALPS	
LPT		LATUR	
LPU		EUROSTAR	
LPV	Air Alps Aviation	ALPAV	Austria
LQS		LEQUIOS	
LRA	Little Red Air Service	LITTLE RED	Canada
LRB	L R Airlines	LADY RACINE	Czech Republic
LRC	LACSA	LACSA	Costa Rica
LRD	Laredo Air	LAREDO AIR	United States
LRE		AERO LASARE	
LRG		SOLAER LAGUNA	
LRK		SKYLARK	
LRO	Alrosa-Avia	ALROSA	Russia
LRQ	Luxembourg Air Ambulance	LUX RESCUE	Luxembourg
LRR	Lorraine Aviation	LORRAINE	France
LRT		LIBERTY JET	
LRW	Al Rida Airways	AL RIDA	Mauritania
LSA	LANSA	INTERNACIONAL	Dominican Republic
LSB		LENSIBAVIA	
LSC	Los Cedros Aviación	CEDROS	Chile
LSF		EOLE	
LSK	Aurela	AURELA	Lithuania
LSM		TITAN	
LSN		SERVIANL	
LSO		LINEAS SOL	
LSP	Spectrum Aviation Incorporated	AIR TONY	United Kingdom
LSR	Alsair	ALSAIR	France
LSS	Lone Star Airlines	LONE STAR	United States
LST		LESORTEC	
LSU	Laus	LAUS AIR	Croatia
LSV		SLOVENIAN AIRFORCE	
LSX		ATLAS EXEC	
LSY	Lindsay Aviation	LINDSAY AIR	United States
LTA	LIFT Academy	LIFT	United States
LTA	Trans Atlantis	LANTRA	Canada
LTB		SKY BEL	
LTC		CHARTER JETS	
LTD	Executive Express Aviation/JA Air Charter	LIGHT SPEED	United States
LTE	LTE International Airways	FUN JET	Spain
LTF	Lufttaxi Fluggesellschaft	GARFIELD	Germany
LTG		TAMCARGO	
LTH		STEALTH	
LTI	Aerotaxis Latinoamericanos	LATINO	Mexico
LTL	Benin Littoral Airways	LITTORAL	Benin
LTM		LATAMERICA	
LTN		LATINAS	
LTO	LTU Austria	BILLA TRANSPORT	Austria
LTP		LATPASS	
LTR	Lufttransport	LUFT TRANSPORT	Norway
LTS	Flight Inspections and Systems	SPECAIR	Russia
LTT		LITCOM	
LTU	LTU International	L_T_U	Germany
LTW	Luchtvaartmaatschappij Twente	TWENTAIR	Netherlands
LTX		LEO TAXI	
LTY	Liberty Air	SKYDECK	Netherlands
LTZ		LOTOS AIR	
LUA		LUSITANIA	
LUC	Albinati Aeronautics	ALBINATI	Switzerland
LUK	LUKoil-Avia	LUKOIL	Russia
LUP		LUPENGA	
LUR		ATLANTIS LINER	
LUS		LOTMORE	
LUT	Luft Carago	LUGO	South Africa
LUV	Luxembourg Air Rescue	LUX RESCUE	Luxembourg
LUX		FREEBIRD	
LUZ	Luzair	LISBON JET	Portugal
LVB	IRS Airlines	SILVERBIRD	Nigeria
LVD	Luftfahrt-Vermietungs-Dienst	AIR SANTE	Austria
LVG		LIVINGSTON	
LVI		SALVI	
LVL	Level	LEVEL	Spain and France
LVN	Aliven	ALIVEN	Italy
LVO		LOVO	
LVR	Aviavilsa	AVIAVILSA	Lithuania
LVS		SIGNIA	
LVT	La Valenciana Taxi Aéreo	TAXIVALENCIANA	Mexico
LVW		LONGVIEW	
LWA	Libyan Wings	LIBYAN WINGS	Libya
LWC		TRANSACA	
LWD	Leisure Air	LEISURE WORLD	United States
LWG		LUXWING	
LWI		LUMI	
LWL	Lowlevel	CUB DRIVER	Portugal
LXA	Luxaviation	LUXAVIATION	Luxembourg
LXC		LUXVAN	
LXF	Lynx Air International	LYNX FLIGHT	United States
LXG	Air Luxor GB	LUXOR GOLF	Guinea-Bissau
LXJ	Bombardier Business Jet Solutions	FLEXJET	United States
LXL		LUXLINER	
LXP	LATAM Express	LANEX	Chile
LXR		SKY LUXURY	
LXS		LYNX SERVICIOS	
LXX		LIBYANEXPRESS	
LYA		LYONAIR	
LYB	Lynden Air Cargo	HIGHLANDS	Papua New Guinea
LYC	Lynden Air Cargo	LYNDEN	United States
LYD	Lydd Air	LYDDAIR	United Kingdom
LYF	Lithuanian Air Force	LITHUANIAN AIRFORCE	Lithuania
LYH	Yankee Lima Helicopteres	HELIGUYANE	France
LYM	Key Lime Air	KEY LIME	United States
LYN	Air Kyrgyzstan	ALTYN AVIA	Kyrgyzstan
LYT	Apatas Air	APATAS	Lithuania
LYW	Libyan Airlines	LIBYAN AIRWAYS	Libya
LYX	Lynx Aviation	LYNX AIR	Pakistan
LZA	Lanza Air	AEROLANZA	Spain
LZB	Bulgaria Air	FLYING BULGARIA	Bulgaria
LZF	Lease Fly	SKYLEASE	Portugal
LZP	Air Ban	DOC AIR	Bulgaria
LZR	Air Lazur	LAZUR BEE-GEE	Bulgaria
LZT	Lanzarote Aerocargo	BARAKA	Spain
MAA	MasAir	MAS CARGA	Mexico
MAB	Millardair	MILLARDAIR	Canada
MAC	Air Arabia Maroc	ARABIA MAROC	Morocco
MAD	Maple Air Services	MAPLE AIR	Canada
MAE	Mali Air	MALI AIREXPRESS	Austria
MAF	Mission Aviation Fellowship	MISSI	Indonesia
MAG		MERID AIR	
MAH		MALEV	
MAI	Max Avia	MAX AVIA	Kyrgyzstan
MAJ	Majestic Airlines	MAGIC AIR	United States
MAK	MAT Macedonian Airlines	MAKAVIO	Macedonia
MAL	Morningstar Air Express	MORNINGSTAR	Canada
MAM	Aeródromo De La Mancha	AEROMAN	Spain
MAN	Mannion Air Charter	MANNION	United States
MAO		MAYO	
MAP		MAPPING	
MAQ	Mac Aviation	MAC AVIATION	Spain
MAR	March Helicopters	MARCH	United Kingdom
MAS	Malaysia Airlines	MALAYSIAN	Malaysia
MAT	Maine Aviation	MAINE-AV	United States
MAU	Air Mauritius	AIRMAURITIUS	Mauritius
MAV	Minoan Air	MINOAN	Greece
MAW	Mustique Airways	MUSTIQUE	Barbados
MAX	Max-Aviation	MAX AVIATION	Canada
MAY		MAYA	
MAZ	Mines Air Services Zambia	MINES	Zambia
MBA	Avag Air	AVAG AIR	Austria
MBB	Air Manas	AIR MANAS	Kyrgyzstan
MBC	Airjet Exploracao Aerea de Carga	MABECO	Angola
MBE	Martin-Baker	MARTIN	United Kingdom
MBF		MABE FLIGHTS	
MBG	Zephyr Aviation	CHALGROVE	United Kingdom
MBI	Mountain Bird	MOUNTAIN BIRD	United States
MBL	First City Air	FIRST CITY	United Kingdom
MBN	Zambian Airways	ZAMBIANA	Zambia
MBO	Mobil Oil	MOBIL	Canada
MBR	Brazilian Navy Aviation	BRAZILIAN NAVY	Brazil
MBS	Mbach Air	MBACHI AIR	Malawi
MBT		MANITOBA	
MBV		AEREM	
MBW		ZAMBIANA	
MCA		CALSON	
MCB	Air Mercia	WESTMID	United Kingdom
MCC	MCC Aviation	DISCOVERY	South Africa
MCD	Air Medical	AIR MED	United Kingdom
MCE	Marshall Aerospace	MARSHALL	United Kingdom
MCF	MAC Fotografica	MAC FOTO	Spain
MCG	SOS Helikoptern Gotland	MEDICOPTER	Sweden
MCH	McAlpine Helicopters	MACLINE	United Kingdom
MCI		MOROCCO-AIRWAYS	
MCJ	Avianca Argentina	JETMAC	Argentina
MCL	Medical Aviation Services	MEDIC	United Kingdom
MCM	Heli-Air-Monaco	HELI AIR	Monaco
MCN	Mac Dan Aviation Corporation	MAC DAN	United States
MCO	Aerolíneas Marcos	MARCOS	Mexico
MCP	Marcopolo Airways	MARCOPOLO	Afghanistan
MCR		MONACAIR	
MCS	Macedonian Airlines	MACAIR	Greece
MCT	Transportación Aérea Del Mar De Cortés	TRANS CORTES	Mexico
MCV	MTC Aviación	MTC AVIACION	Mexico
MCW		MACHINE WORKS	
MCX	Cargo Express	MAURICARGO	Mauritania
MCY	Ambulance Air Africa	MERCY	South Africa
MDA	Mandarin Airlines	MANDARIN	Taiwan
MDB	Monde Air Charters	MONDEAIR CARGO	United Kingdom
MDC	Atlantic Aero and Mid-Atlantic Freight	NIGHT SHIP	United States
MDD		DONLINES	
MDE	Mauritanienne De Transport Aerien	MAURI-TRANS	Mauritania
MDF	Mediterranean Air Freight	MED-FREIGHT	Greece
MDG	Air Madagascar	AIR MADAGASCAR	Madagascar
MDH	Madina Air	MADINA AIR	Libya
MDI		MEDOPS	
MDJ		JARO INTERNATIONAL	
MDK		MADIKWE	
MDL	Mandala Airlines	MANDALA	Indonesia
MDM	Medavia	MEDAVIA	Malta
MDN		MERIDIANA AIR	
MDO		KUDA	
MDR	Compania Mexicana De Aeroplanos	AEROPLANOS	Mexico
MDS	McNeely Charter Services	MID-SOUTH	United States
MDT	Sundt Air	MIDNIGHT	Norway
MDV	Moldavian Airlines	MOLDAVIAN	Moldova
MDW		MEDWING	
MDX	Aerosud Charter	MEDAIR	South Africa
MDZ		MIDANES	
MEA	Middle East Airlines	CEDAR JET	Lebanon
MEC	Mercury Aircourier Service	MERCAIR	United States
MED	Ontario Ministry of Health	MEDICAL	Canada
MEE	Elimediterranea	ELIMEDITERRANEA	Italy
MEF	Air Meridan	EMPENNAGE	Nigeria
MEG		MEGALINES	
MEH		GREENMALEV	
MEI	Merlin Airways	AVALON	United States
MEJ	Medjet International	MEDJET	United States
MEK	Med-Trans of Florida	MED-TRANS	United States
MEL	Mega Linhas Aéreas	MEGA AIR	Brazil
MEM	Meridian Limited	MERIDIAN CHERRY	Ukraine
MEN		RAHAL	
MEO		METRO AIRWAYS	
MEP	Midwest Airlines	MIDEX	United States
MER	Methow Aviation	METHOW	United States
MES	Mesaba Airlines	MESABA	United States
MET	Meteorological Research Flight	METMAN	United Kingdom
MEV		MED-VIEW	
MEX	Metro Express	EAGLE EXPRESS	United States
MEY		MELODY	
MFA	Martyn Fiddler Associates	SEAHORSE	United Kingdom
MFB	Mountain Flyers 80	MOUNTAINHELI	Switzerland
MFC	Moncton Flying Club	EAST WIND	Canada
MFD		FREIGHT DOG	
MFG		MID AFRICA	
MFL	Aero McFly	MCFLY	Mexico
MFP		FOREST RANGER	
MFR	Midline Air Freight	MIDLINE FREIGHT	United States
MFS	Miller Flying Services	MILLER TIME	United States
MFT	Multiflight	YORKAIR	
MFY		MEDIFLY MEX	
MFZ	Mofaz Air	MOFAZ AIR	Malaysia
MGA	MG Aviación	MAG AVACION	Spain
MGB	Coulson Flying Service	MOCKINGBIRD	United Kingdom
MGC		MONGOLIA CARGO	
MGD		MIAMI AIR	
MGE	Asia Pacific Airlines	MAGELLAN	United States
MGF		FOGLIA	
MGG	Elmagal Aviation Services	ELMAGAL	Sudan
MGH		M_G__H GLOBAL	
MGI	Marghi Air	MARGHI	Nigeria
MGK	Mega	MEGLA	Kazakhstan
MGL	MIAT Mongolian Airlines	MONGOL AIR	Mongolia
MGM	Transporte Aero MGM	AERO EMM-GEE-EMM	Mexico
MGN		MORGAN AIR	
MGO	Punto Fa	MANGO	Spain
MGP		MAGPIE	
MGR	Magna Air	MAGNA AIR	Austria
MGS	Aeromagar	AEROMAGAR	Mexico
MGW		GREAT MONGOLIAN	
MGX	Montenegro Airlines	MONTENEGRO	Montenegro
MHA	Mountain High Aviation	MOUNTAIN HIGH	United States
MHC	Aero Jomacha	AERO JOMACHA	Mexico
MHD	Yas Air Kish	YAS AIR	Iran
MHF	Maritime Helicopters	AIR MARITIME	United States
MHK		AL-NASER	
MHL	Meridian Airlines	HASSIMAIR	Nigeria
MHN	Manhattan Air	MANHATTAN	United Kingdom
MHO		MAHALO	
MHQ	Skargardshavets Helikoptertjanst	HELICARE	Finland
MHS	Air Memphis	AIR MEMPHIS	Egypt
MHU	Air Memphis	MEPHIS UGANDA	Uganda
MHV	MHS Aviation GmbH	SNOWCAP	Germany
MIA	Mauria	MAURIA	Mauritania
MIC	Mint Airways	MINT AIRWAYS	Spain
MID		MIDCOAST	
MIE	Aero Premier De Mexico	AEROPREMIER	Mexico
MIF	Miras	MIRAS	Kazakhstan
MIG	Russian Aircraft Corporation-MiG	MIG AVIA	Russia
MIH		MASSYLINE	
MIK		MEERBLICK	
MIM	Mimino	MIMINO	Russia
MIN		MINERVE	
MIO		MICO	
MIR	Miramichi Air Service	MIRAMICHI	Canada
MIS	Midstate Airlines	MIDSTATE	United States
MIT	Flight Line	MATCO	United States
MIV		MIAVIA	
MIW		MIDWING	
MIX		MASIS	
MIZ	Desarrollo Milaz	MILAZ	Mexico
MJA		MAJARA	
MJB	Magic Blue Airlines	MAGIC BLUE	Netherlands
MJC	Mandarin Air	AIR MANDA	China
MJE		EMJET	
MJF		EM-EXPRESS	
MJI		MAJESTIC JET	
MJL		MOLDJET	
MJM	Eti 2000	ELCO ETI	Italy
MJN	Royal Air Force of Oman	MAJAN	Oman
MJP		AIR MAJORO	
MJR	Midamerica Jet	MAJOR	United States
MJS		MEDICAL JET	
MJT	Mex-Jet	MEJETS	Mexico
MKA	MK Airline	KRUGER-AIR	Ghana
MKD		MATAIRWAYS	
MKE		MEGANTARA	
MKG		MEKONG	
MKH	Air Marrakech Service	AIR MARRAKECH	Morocco
MKI		KILO ICE	
MKK	Malaya Aviatsia Dona	AEROKEY	Russia
MKL	McCall Aviation	MCCALL	United States
MKN		MEKONG AIRLINES	
MKO	Markoss Aviation	GOSHAWK	United Kingdom
MKP		ADYGEYA	
MKR		AIR LANME	
MKS	Pimichikamac Air	MIKISEW	Canada
MKU		MOKU	
MKV		LUBER	
MKY	Monky Aerotaxis	MONKY	Mexico
MLA	40-Mile Air	MILE-AIR	United States
MLB	Manaf International Airways	MANAF	Burundi
MLC	Malila Airlift	MALILA	Democratic Republic of the Congo
MLD	Air Moldova	AIR MOLDOVA	Moldova
MLE	Moldaeroservice	MOLDAERO	Moldova
MLF	Amal Airlines	AMAL	Djibouti
MLH	Mahalo Air	MAHALO	United States
MLI		DEMAIS	
MLK	Millennium Air	NIGERJET	Nigeria
MLL	Aeroclub de Mallorca	MALLORCA	Spain
MLM		MILLENNIUM	
MLN	Air Madeleine	AIR MADELEINE	Canada
MLO	Servicios Aéreos Milenio	MILENIO	Mexico
MLP		MALAY PACIFIC	
MLR	Mihin Lanka	MIHIN LANKA	Sri Lanka
MLS	Mall Airways	MALL-AIRWAYS	United States
MLT		MALETH	
MLU	Zracno Pristaniste Mali Losinj	MALI LOSINJ	Croatia
MLV	Multiservicios Aereos Del Valle	MULTI VALLE	Mexico
MLX	Malawi Express	MALAWI EXPRESS	Malawi
MLZ		MAGLEASE	
MMA	Myanmar Airways International	MYANMAR	Myanmar
MMC	Aermarche	AERMARCHE	Italy
MMD	Air Alsie	MERMAID	Denmark
MME		MAJESTIC AIR	
MMF		MULTI	
MMG	Aereo Ruta Maya	RUTA MAYA	Guatemala
MMH	McMahon Helicopter	NIGHT RIDER	United States
MMI		ITALIAN NAVY	
MMJ	Macau Jet International	MACAUJET	China
MML	Hunnu Air	TRANS MONGOLIA	Mongolia
MMM	Aviation Company Meridian	AVIAMERIDIAN	Russia
MMN		MINUTEMAN	
MMO		MALIT	
MMP	AMP Incorporated	AMP-INC	United States
MMR	Musrata Air Transport	MUSRATA AIR	Libya
MMS	SAAD (A320) Limited	MUSAAD AIR	Cayman Islands
MMT		SAM INTER	
MMX	Airmax	PERUMAX	Peru
MMY		MARMOT	
MMZ	EuroAtlantic Airways	EUROATLANTIC	Portugal
MNA	Merpati Nusantara Airlines	MERPATI	Indonesia
MNB	MNG Airlines	BLACK SEA	Turkey
MNC	MIT Airlines	MUNCIE	Canada
MND		AIR MADINA	
MNE	Aerolíneas Amanecer	AEROAMANECER	Mexico
MNF		RINGWAY	
MNG	Aero Mongolia	AERO MONGOLIA	Mongolia
MNH	Monarch Airlines	MONARCH AIR	United States
MNI	Aeromilenio	AEROMIL	Mexico
MNJ	Menajet	MENAJET	Lebanon
MNK		VIAMET	
MNL	Miniliner	MINILINER	Italy
MNM		NINO	
MNO	Mango	TULCA	South Africa
MNP		MANILA SKY	
MNR	Mann Air	TEEMOL	United Kingdom
MNS	Ministic Air	MINISTIC	Canada
MNT	Montserrat Airways	MONTSERRAT	Montserrat
MNU	Elite Airways	MAINER	United States
MNV	Mauritanienne Aerienne Et Navale	NAVALE	Mauritania
MNX	Manx Airlines	MANX	United Kingdom
MNY	Mooney Aircraft Corporation	MOONEY FLIGHT	United States
MNZ	Murmansk Aircompany	MURMAN AIR	Russia
MOA		MORAS	
MOC	Air Monarch Cargo	MONARCH CARGO	Mexico
MOD		MONDEGO	
MOE		MOST AIR	
MOF		MIKE GOLF	
MOG		MOGILEV	
MOH	Tigerfly	MOTH	United Kingdom
MOL		BAGDAN	
MOM		MODERN AIR	
MON		MONARCH	
MOP	Aeropublicitaria De Angola	PUBLICITARIA	Angola
MOR	Aerolíneas De Morelia	AEROMORELIA	Mexico
MOT		AEROMONTERREY	
MOU		BLACKADDER	
MOV	VIM Airlines	MOV AIR	Russia
MOW	Mohawk Airlines	MOHAWK AIR	United States
MOZ		MOZART	
MPA	Mid-Pacific Airlines	MID PAC	United States
MPC	Mountain Pacific Air	MOUNTAIN PACIFIC	Canada
MPD	Air Plus Comet	RED COMET	Spain
MPE	Canadian North	EMPRESS	Canada
MPF		EXECUTIVE WALTZ	
MPH	Martinair	MARTINAIR	Netherlands
MPI	Mosphil Aero	MOSPHIL	Philippines
MPJ	MAP-Management and Planung	MAPJET	Austria
MPL		METRO	
MPO	Transportes Aéreos Amparo	AMPARO	Mexico
MPS	Metropolis	METRO REGIONAL	Netherlands
MPT	Miapet-Avia	MIAPET	Armenia
MPX	Aeromexpress	AEROMEXPRESS	Mexico
MQT	Air ITM	MUSKETEER	France
MRA	Martinaire	MARTEX	United States
MRB		TOMA	
MRC		MARTRANS	
MRD	Meridian Air Cargo	MERIDIAN	United States
MRE	Namibia Commercial Aviation	MED RESCUE	Namibia
MRF	Mauritanienne Air Fret	MAUR-FRET	Mauritania
MRG		MANAG'AIR	
MRH	RAF Marham	MARHAM	United Kingdom
MRI	Servicios Aéreos Moritani	MORITANI	Mexico
MRJ		MERAJ AIRLINES	
MRK	Markair	MARKAIR	United States
MRL	Aeromorelos	AEROMORELOS	Mexico
MRM	Aerocharter	MARITIME	Canada
MRN	Missions Gouvernemtales Francaises	MARIANNE	France
MRO	Morrison Flying Service	MORRISON	United States
MRP	Abas	ABAS	Czech Republic
MRR	San Juan Airlines	MARINER	United States
MRS		MARS CARGO	
MRT	Air Mauritanie	MIKE ROMEO	Mauritania
MRV		MIRAVIA	
MRW	Mars RK	AVIAMARS	Ukraine
MRX	Herman's Markair Express	SPEEDMARK	United States
MRY	Air Marine	AIR MARINE	France
MRZ	Medical Air Rescue Services	MARS	Zimbabwe
MSA	Mistral Air	AIRMERCI	Italy
MSB		LONG	
MSD		MOOSEHEAD	
MSE		AIRMAS	
MSF	Max Sea Food	MAXESA	El Salvador
MSF	Minsheng International Jet	MEINSHENG	China
MSG	Servico Aéreo Regional	SAR-REGIONAL	Mozambique
MSH	US Marshals Service	MARSHALAIR	United States
MSI	Motor Sich	MOTOR SICH	Ukraine
MSJ	Magnum Air	MAGNUM AIR	Philippines
MSK	Air Sport	AIR SPORT	Bulgaria
MSL	Marsland Aviation	MARSLANDAIR	Sudan
MSM	Aeromas	AEROMAS EXPRESS	Uruguay
MSN	Missionair	MISIONAIR	Spain
MSO	Aerolíneas Mesoamericanas	MESO AMERICANAS	Mexico
MSP	Servicio De Vigilancia Aérea Del Ministerio De Seguridad Pública	SEGURIDAD	Costa Rica
MSQ	Meta Linhas Aéreas	META	Brazil
MSR	Egyptair	EGYPTAIR	Egypt
MSS	Morris Air Service	WASATCH	United States
MST		AMISTAD	
MSU		MALUTI SKY	
MSV	Aero-Kamov	AERAFKAM	Russia
MSW	Master Airways	MASTER AIRWAYS	Serbia
MSX	Egyptair Cargo	EGYPTAIR CARGO	Egypt
MSY	Massey University School of Aviation	MASSEY	New Zealand
MTA	GAK/Mitchell Aero	GAK AVIATION	United States
MTB	Aerotaxis Metropolitanos	AEROMETROPOLIS	Mexico
